web_link,building_location,building_location_link,building_type,price,date_posted,rental_attr,neighbourhood,raw_description
https://ottawa.craigslist.org/apa/d/ottawa-luxury-downtown-condo-furnished/7163311561.html,179 George Street near Cumberland,"https://www.google.com/maps/search/45.428775,-75.688079",/ 1br - 652ft,$1995,2020-07-21T12:24:30-0400,"c(""1BR / 1Ba"", ""652ft2"", ""available jul 21"", ""cats are OK - purrr"", ""dogs are OK - wooof"", ""furnished"", ""condo"", ""w/d in unit"", ""street parking"")",(Downtown Ottawa),"Located right in Downtown Ottawa beside the Rideau Centre and minutes from Parliament Hill.

The unit comes entirely furnished with a Queen sized bed, a couch, mounted Smart TV and a fully stocked kitchen. There is also an outdoor balcony with patio furniture, and all monthly utilities (water, hydro, internet) are included in the cost!

The building's amenities include a gym, party room with a pool table and foosball as well as an outdoor patio with barbeques.

There is a grocery store in the mall right across the street, and an LCBO in front of the building for maximum convenience. There are several amazing restaurants and coffee shops in the neighbourhood as well. You are located right in the Byward Market! One of Ottawa's most popular neighbourhoods.

This unit is perfect for young professionals, students, or anyone looking to enjoy an extended stay in Ottawa's capital.

Looking for a 1-year minimum available immediately. Please contact me with any further questions."
https://ottawa.craigslist.org/apa/d/gatineau-sept-1st-spacious-2br-office/7156451535.html,rue Sherbrooke near rue Fortier,NA,/ 2br - 1100ft,$1145,2020-07-09T16:48:21-0400,"c(""2BR / 1Ba"", ""1100ft2"", ""available sep 1"", ""apartment"", ""w/d in unit"", ""no smoking"", ""off-street parking"")",(Rue Sherbrooke (Hull),"*** Francais ci-dessous*** GREAT LOCATION! 3 blocks from the MAXI (St. Joseph). Includes in-unit washer and dryer hookups, heat and hydro extra 40-65/month. Middle floor, No Smoking, No Pets. Three-minute walk to corner store, five-minute walk to Maxi grocery store, 8 minute walk to Galleries de Hull. 10-minute walk to Gatineau Park trails.

- Spacious and bright 2 bedroom plus office. 
- Parking if required is $50/month. 
- Washer, dryer, fridge and stove are optional.
- All bedrooms and office have large closets and windows. 
- Large kitchen/dining room open concept. 
- Large living room and Master Bedroom. 
- Shared rear courtyard with driveway and rear door access. 
- Small balcony and storage locker. 
- Quiet building. Ideal for professionals or professional couples. 
- No Smoking, No Pets.

References and soft credit check required.

Please email me with any questions and/or to set up a viewing.
Thank you.

***
GRAND ENDROIT! 3 pâtés de maisons du MAXI (St. Joseph). Comprend les branchements de la laveuse et de la sécheuse dans l'unité, chauffage et électricité supplémentaires 40-65 / mois Étage intermédiaire, non fumeur, pas d'animaux. À trois minutes à pied du magasin du coin, à cinq minutes à pied de l'épicerie Maxi, à 8 minutes à pied des galeries de Hull. 10 minutes à pied des sentiers du parc de la Gatineau.

- Spacieux et lumineux 2 chambres plus bureau. 
- Le stationnement si nécessaire est de 50 $ / mois. 
- Laveuse, sécheuse, réfrigérateur et cuisinière sont en option 
- Toutes les chambres et bureaux ont de grands placards et fenêtres. 
- Grande cuisine / salle à manger à aire ouverte. 
- Grand salon et chambre principale. 
- Cour arrière partagée avec allée et accès par porte arrière. 
- Petit balcon et casier de rangement. 
- Immeuble calme. Idéal pour professionnels ou couples professionnels. 
- Ne pas fumer, pas d'animaux.

Références et vérification de solvabilité obligatoires.

Veuillez m'envoyer un e-mail pour toute question et / ou pour configurer une visite.
Je vous remercie."
https://ottawa.craigslist.org/apa/d/ottawa-preston-street-2-bdrm-downtown/7163159326.html,Preston Street near Willow Street,"https://www.google.com/maps/search/45.405905,-75.712846",/ 2br - 800ft,$1575,2020-07-21T08:05:44-0400,"c(""2BR / 1Ba"", ""800ft2"", ""apartment"", ""w/d hookups"", ""no smoking"", ""off-street parking"")","(190 Preston Street, Ottawa, ON)","This GREAT  2 BEDROOM 1st floor apartment. 
It has hardwood and tile through-out,
Front and back entrance, 
Bonus basement has W/D hook-ups
Close to new Transit Way LRT

 Included in rent:
         Heated, 
         Parking for 1 car included
         Fridge & Stove. 
 
A great location with bonus basement exclusive to apartment.

 Available SEPTEMBER 1, 2020

 Only $16
$1,575 plus hydro

 Call or Text Roberto"
https://ottawa.craigslist.org/apa/d/ottawa-apartment-condo-for-rent-ottawa/7163417759.html,255 Bay St near Laurier Ave,"https://www.google.com/maps/search/45.415330,-75.704116",/ 1br - ,$2000,2020-07-21T14:45:03-0400,"c(""1BR / 1Ba"", ""available jul 22"", ""apartment"", ""w/d in unit"", ""no smoking"", ""no parking"")",(Centretown),"UTILITIES
Heating: Natural Gas: Tenant pays
Cooling: Central Air
Hydro: Hydro Ottawa: Tenant pays
Water: City of Ottawa: Landlord pays
HWT Rental: Landlord pays
INCLUDED: Indoor Hot Tub, Indoor Pool, Sauna, Storage Locker, Window Coverings, Refrigerator, Stove, Dishwasher, Washer, Dryer
Ottawa, Centretown. Welcome to the Bowery! This 1 bedroom, 1 full bathroom Condominium is for rent! This condo features an updated and open concept kitchen with lots of cupboards, stainless steel appliances and island. Kitchen opens to dining/living room with access to LARGE balcony! Hardwood throughout!!! The bedroom is spacious. Laundry in-suite! Central Air. Great building amenities that includes a gym, heated saltwater pool, sauna, party room, conference room and rooftop patios!! Close proximity to HWY, Transit (steps to the Lyon St LRT Station), Restaurants, Shopping, Museums, Parks and so much more!"
https://ottawa.craigslist.org/apa/d/stittsville-single-family-house-for/7154471676.html,711 Samantha Eastop Ave near Kimpton Dr,"https://www.google.com/maps/search/45.271890,-75.940942",/ 3br - ,$2700,2020-07-06T14:15:19-0400,"c(""3BR / 2.5Ba"", ""available jul 16"", ""house"", ""w/d in unit"", ""no smoking"", ""attached garage"")",(Stittsville),"PETS: NO
UTILITIES
Heating: Natural Gas: Tenant pays
Cooling: Central Air
Hydro: Hydro Ottawa: Tenant pays
Water: City of Ottawa: Tenant pays
HWT Rental: Tenant pays
INCLUDED: Window Coverings, Refrigerator, Cooktop, Dishwasher, Washer, Dryer, Microwave (with Warranty), 
Ottawa, Stittsville. This BRIGHT and luxurious 3 bedroom, 2.5 bathroom Single House is for rent! Available Jul. 16, 2020! Walk into a spacious foyer with powder room and garage access. This House, built in 2019, features an upgraded and modern kitchen with lots of cupboards, counter space, stainless steel appliances and breakfast bar. Kitchen opens to a spacious dining and living rooms! Gleaming laminate flooring, 9’ ceilings and pot lights on main floor!!! The master bedroom is spacious with walk-in closet and en-suite. Secondary bedrooms are of good size! Carpets in Bedrooms. Lower level in unfinished, perfect for storage. Central Air. Backyard. Single Car garage includes an electric car charging hookup. Close proximity to HWY, Transit, Golf, Restaurants, Shopping, Parks, Schools and so much more!"
https://ottawa.craigslist.org/apa/d/kanata-single-family-house-for-rent/7158514986.html,37 Springwater Dr near Steeple Chase Dr,"https://www.google.com/maps/search/45.303215,-75.867327",/ 3br - ,$2500,2020-07-13T11:11:56-0400,"c(""3BR / 2.5Ba"", ""available jul 16"", ""house"", ""w/d in unit"", ""no smoking"", ""attached garage"")",(Kanata),"UTILITIES
Heating: Natural Gas: Tenant pays
Cooling: Central Air
Hydro: Hydro Ottawa: Tenant pays
Water: City of Ottawa: Tenant pays
HWT Rental: Tenant pays
INCLUDED: Window Coverings, Refrigerator, Stove, Dishwasher, Washer, Dryer
Ottawa, Kanata. This 3 bedroom, 2.5 bathroom Single Family House in desirable neighborhood is for rent! This House features an updated eat-in kitchen with lots of cupboards, counter space and all appliances. Formal dining and living room! Brand new laminate floors on main! The master bedroom is spacious with walk-in closet and 4 piece en-suite. Secondary bedrooms are of good size! Brand new carpets in bedrooms. Second level boasts a large loft perfect for a family room! Lower level storage. Central Air. Backyard is fully fenced with large deck and no rear neighbors! Double Car garage. Quiet street backing on gorgeous landscaped walking paths. Close proximity to HWY, Transit, Restaurants, Shopping, Parks, Schools and so much more! More pictures coming soon!"
https://ottawa.craigslist.org/apa/d/orleans-apt-for-rent-in-newly-built/7150459544.html,1503 Boyer Rd near Jeanne D Arc Blvd South,"https://www.google.com/maps/search/45.462697,-75.530184",/ 3br - ,$2300,2020-06-29T11:37:21-0400,"c(""3BR / 2.5Ba"", ""available sep 15"", ""apartment"", ""w/d in unit"", ""no smoking"", ""attached garage"")",(Orleans),"UTILITIES
Heating: Natural Gas: Tenant pays
Cooling: Central Air
Hydro: Hydro Ottawa: Tenant pays
Water: City of Ottawa: Tenant pays
HWT Rental: Tenant pays
INCLUDED: Grass Cutting, Refrigerator, Stove, Dishwasher, Washer, Dryer
Ottawa, Orleans. Upper Level 3 bedroom, 2.5 bathroom Apartment of a duplex for rent. This newly built property features 9 ft ceilings, a modern kitchen with lots of cupboards, plenty of counter space and stainless steel appliances. New laminate flooring throughout. The master bedroom is spacious with en-suite. Secondary bedrooms are of good size. Laundry in unit. Central Air. Backyard space perfect for a BBQ. Single Car garage. Close proximity to HWY, transit, restaurants, shopping, parks, schools and so much more! No Smoking!"
https://ottawa.craigslist.org/apa/d/orleans-upper-level-new-built-apt-for/7161510608.html,1505 Boyer Rd near Jeanne D Arc Blvd South,"https://www.google.com/maps/search/45.463028,-75.530312",/ 3br - ,$2300,2020-07-18T10:40:04-0400,"c(""3BR / 2.5Ba"", ""available sep 15"", ""apartment"", ""w/d in unit"", ""no smoking"", ""attached garage"")",(Orleans),"UTILITIES
Heating: Natural Gas: Tenant pays
Cooling: Central Air
Hydro: Hydro Ottawa: Tenant pays
Water: City of Ottawa: Tenant pays
HWT Rental: Tenant pays
INCLUDED: Electric Fireplace, Grass Cutting, Refrigerator, Stove, Dishwasher, Washer, Dryer
Ottawa, Orleans. Upper Level Apartment of a Duplex for rent. 3 bedroom, 2.5 bathroom. This newly built property features 9 ft ceilings, a modern kitchen with lots of cupboards, plenty of counter space and stainless steel appliances. New laminate flooring throughout. The master bedroom is spacious with en-suite. Secondary bedrooms are of good size. Laundry in unit. Central Air. Backyard space perfect for a BBQ. Single Car garage. Close proximity to HWY, transit, restaurants, shopping, parks, schools and so much more! No Smoking!"
https://ottawa.craigslist.org/apa/d/orleans-new-built-upper-level-of-duplex/7161518830.html,1507 Boyer Rd near Jeanne D Arc Blvd South,"https://www.google.com/maps/search/45.463239,-75.530699",/ 3br - ,$2300,2020-07-18T10:53:02-0400,"c(""3BR / 2.5Ba"", ""available sep 15"", ""apartment"", ""w/d in unit"", ""no smoking"", ""attached garage"")",(Orleans),"UTILITIES
Heating: Natural Gas: Tenant pays
Cooling: Central Air
Hydro: Hydro Ottawa: Tenant pays
Water: City of Ottawa: Tenant pays
HWT Rental: Tenant pays
INCLUDED: Electric Fireplace, Grass Cutting, Refrigerator, Stove, Dishwasher, Washer, Dryer
Ottawa, Orleans. Upper Level Apartment of a duplex for rent. 3 bedroom, 2.5 bathroom. This newly built property features 9 ft ceilings, a modern kitchen with lots of cupboards, plenty of counter space and stainless steel appliances. New laminate flooring throughout. The master bedroom is spacious with en-suite. Secondary bedrooms are of good size. Laundry in unit. Central Air. Backyard space perfect for a BBQ. Single Car garage. Close proximity to HWY, transit, restaurants, shopping, parks, schools and so much more! No Smoking!"
https://ottawa.craigslist.org/apa/d/stittsville-semi-detached-house-for/7145949049.html,802 Indica St near Vivera Place,"https://www.google.com/maps/search/45.266770,-75.944918",/ 3br - ,$2200,2020-06-21T17:08:54-0400,"c(""3BR / 2.5Ba"", ""available sep 1"", ""house"", ""w/d in unit"", ""no smoking"", ""attached garage"")",(Stittsville),"UTILITIES
Heating: Natural Gas: Tenant pays
Cooling: Central Air
Hydro: Hydro Ottawa: Tenant pays
Water: City of Ottawa: Tenant pays
HWT Rental: Tenant pays
INCLUDED: Blinds, Refrigerator, Stove, Dishwasher, Washer, Dryer, Microwave (with Warranty)
Ottawa, Stittsville. This 3 bedroom, 2.5 bathroom Semi-Detached is for rent. This House features an updated kitchen with lots of cupboards, counter space and Stainless Steel appliances. Kitchen opens to dining/living room! Hardwood and Ceramic on main floor!!! The master bedroom is spacious with walk-in closet and 4 piece en-suite. Secondary bedrooms are of good size! Carpets in Bedrooms. Fully finished lower level with storage and laundry. Carpet in Basement. Central Air. Backyard is partially fenced. Single Car garage. Close proximity to HWY, Transit, DND, Canadian Tire Centre, Restaurants, Shopping (Tanger Outlets), Parks, Schools (Kanata Private School) and so much more!"
https://ottawa.craigslist.org/apa/d/orleans-townhouse-for-rent-ottawa-816/7156786011.html,816 Ashenvale Way near Esprit Dr,"https://www.google.com/maps/search/45.448514,-75.466737",/ 3br - ,$2200,2020-07-10T10:31:43-0400,"c(""3BR / 2.5Ba"", ""available oct 1"", ""townhouse"", ""w/d in unit"", ""no smoking"", ""attached garage"")",(Orleans),"UTILITIES
Heating: Natural Gas: Tenant pays
Cooling: Central Air
Hydro: Hydro Ottawa: Tenant pays
Water: City of Ottawa: Tenant pays
HWT Rental: Tenant pays
INCLUDED: Window Coverings, Refrigerator, Stove, Dishwasher, Washer, Dryer
Ottawa, Orleans. This 3 bedroom, 2.5 bathroom Townhouse is for rent! This house features an updated kitchen with LOTS of cupboards, counter space and Stainless Steel appliances. Open concept living and dining rooms! Hardwood and Ceramic on main floor!!! The master bedroom is spacious with walk-in closet and en-suite. Secondary bedrooms are of good size! Carpets in Bedrooms. Fully finished lower level with storage and laundry. Carpet in Basement. Central Air. Backyard is partially fenced with deck and patio. Single Car garage. Close proximity to HWY, Transit, Restaurants, Shopping, Parks, Schools and so much more! NO PETS please!!!"
https://ottawa.craigslist.org/apa/d/orleans-apartment-for-rent-ottawa-st/7154503143.html,3483 St Joseph Blvd near Tenth Line Rd,"https://www.google.com/maps/search/45.486321,-75.494049",/ 2br - ,$1495,2020-07-06T14:54:48-0400,"c(""2BR / 1Ba"", ""available aug 5"", ""apartment"", ""w/d in unit"", ""no smoking"", ""off-street parking"")",(Orleans),"UTILITIES
Heating: Electric: Tenant pays
Hydro: Hydro Ottawa: Tenant pays
INCLUDED: Water, HWT Rental, One Exterior Parking Spot, Snow Clearing, Grass Cutting, Refrigerator, Stove, Washer, Dryer
Ottawa, Orleans. VERY RARE Spacious Apartment for rent. 2 bedrooms both with walk-in closets! Large eat-in kitchen with plenty of cupboards and counter tops, fridge and stove. Newer flooring. Living room with plenty of natural light. In suite laundry includes full size washer and dryer. Renovated bathroom! Brand new windows! Huge backyard perfect for BBQ, patio set. Walking distance to Place D'Orleans."
https://ottawa.craigslist.org/apa/d/gloucester-move-in-ready-townhouse-for/7159540529.html,995 Bunchberry Way near Willowmere Way,"https://www.google.com/maps/search/45.313216,-75.617927",/ 3br - ,$2275,2020-07-14T22:34:17-0400,"c(""3BR / 2.5Ba"", ""available oct 1"", ""townhouse"", ""w/d in unit"", ""no smoking"", ""attached garage"")",(Findlay Creek),"UTILITIES
Heating: Natural Gas: Tenant pays
Cooling: Central Air
Hydro: Hydro Ottawa: Tenant pays
Water: City of Ottawa: Tenant pays
HWT Rental: Tenant pays
INCLUDED: Refrigerator, Stove, Dishwasher, Washer, Dryer, Microwave (No Warranty)
Ottawa, Findlay Creek. Move-in ready Townhouse for rent with 3 bedrooms, 2.5 bathrooms. It boasts an open concept floor plan. The main floor with HARDWOOD and tile flooring. Gourmet kitchen features an island with double sink and breakfast bar, granite counter tops and all ice white appliances! Patio doors in the sun filled dining room open to the fully fenced backyard. Large and bright master bedroom features a walk-in closet, 4 pce en-suite w/soaker tub and separate shower. Secondary bedrooms of good size. Carpets in bedrooms and in basement. Finished lower level is spacious with cozy gas fireplace, laundry room and lots of storage. Central Air. Single Car Garage w/automatic door opener. Close proximity to shopping, schools, restaurants, parks, walking trails and the airport."
https://ottawa.craigslist.org/apa/d/manotick-apartment-condo-for-rent/7160132187.html,266 Pambina Private near Brian Good Ave,NA,/ 2br - ,$1950,2020-07-15T22:16:01-0400,"c(""2BR / 2Ba"", ""available oct 1"", ""condo"", ""w/d in unit"", ""no smoking"", ""attached garage"")",(Riverside South),"UTILITIES
Heating: Natural Gas: Tenant pays
Cooling: Central Air
Hydro: Hydro Ottawa: Tenant pays
Water: City of Ottawa: Tenant pays
HWT Rental: Tenant pays
INCLUDED: Window Coverings, Refrigerator, Stove, Dishwasher, Washer, Dryer, Microwave (No Warranty)
Ottawa, Riverside South. NEWER Urbandale Jazz Condo. 2 Storey, 2 bedroom, 2 full bathrooms plus DEN for rent. Bright & Modern open concept floor plan. Neutral decor throughout! Gourmet kitchen with granite counter tops, stainless steel appliances and breakfast bar. Hardwood and ceramic flooring in main living space, carpet in bedrooms! Master bedroom is spacious with walk-in closet. Second bedroom is of good size and features a den! Single attached garage with interior access AND one exterior parking spot. A/C. Balcony. Close to transit, shops, parks & recreation."
