,adId,url,address,province,latitude,longitude,rent,utilities,description,Furnished,Bathrooms,Bedrooms,For Rent By,Pet Friendly,Water,Heat,Hydro,Agreement Type,Parking Included,Accessible Washrooms in Suite,Audio Prompts,Braille Labels,Elevator in Building,Storage Space,Internet,Cable / TV,Visual Aids,Barrier-free Entrances and Ramps,Bicycle Parking,24 Hour Security,Concierge,Pool,Gym,Smoking Permitted,Balcony,Yard,Air Conditioning,Fridge / Freezer,Dishwasher,Laundry (In Building),Laundry (In Unit),Wheelchair accessible,building_access,laundry,Unit Type,Size (sqft),Virtual Options,Term Agreement,Move-In Date
10,1410545897.0,https://www.kijiji.ca/v-short-term-rental/ottawa/studio-furnished-as-hotel-suite/1410545897,"1186 Shillington Ave, Ottawa, ON K1Z 7Z4, Canada",ontario,45.3811855,-75.7268158,396.0,,"Studio Furnished like an Hotel Suite... No Lease... 4 Locations... Pay as you go...


5 LOCATIONS TO SERVE YOU:

#1: 276 Presland Road, Ottawa

#2: 275 St-Laurent Blvd, Ottawa

#3: 1186 Shillington ave, Ottawa

#4: 1109 Shillington ave, Ottawa

#5: 2098 Montreal Road, Ottawa


ALL INCLUSIVE:

Fully Furnished - Bed & bed Linen - Dishware - Weekly Maid Service - TV - Rogers Satellite system - 7 movie channel - Unlimited High Speed Internet - Telephone - Fridge - Stove - Heat - Hydro - Parking - On Site Laundry


BOOKING:

Upon booking you pay your last week $396 (Departure Notice)


THEN, EXTEND YOUR STAY - PAY AS YOU GO:

RATES: 1week/$396, 2wk/$737, 3wk/$1,032, 4wk/$1,282 (departure notice - prepaid 1 week). 30+ days no tax.


AVAILABILITY: Contact us for availability


Eric Charette - Owner

Text/mobile: 6 1 3 - 2 7 7 - 6 1 3 2",Yes,1.0,Bachelor/Studio,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1509812779.0,https://www.kijiji.ca/v-short-term-rental/ottawa/mccrearys-beach-resort-cottage-rentals/1509812779,"155 McCrearys Beach, Perth, ON, K7H 3C8",ontario,45.0213694,-76.21924980000001,199.0,,"<p>Get set for family fun this summer and rent one of McCreary's Beach Resorts 1 to 3 bedroom cottages in Perth. Stay mid-week from only $199/night*Located near Ottawa, enjoy a fun, family-friendly and pet-friendly environment with all-inclusive amenities and ample local attractions nearby to enjoy.</p><b>Book with McCreary's Beach Resort, Book with Confidence</b><br />When you book a resort cottage with us, we guarantee** that if your stay is affected by coronavirus, you can change your booking for a later date OR cancel your booking and receive a full refund, allfree of charge up to 3 days before your stay!<br /><br /><p>There is always something fresh and exciting happening at our resort. Children are building sandcastles, learning to swim, catching their first fish, roasting marshmallows and making lasting friendships that develop around campfires. We offer fun-filled activities for the kids and they especially enjoy visits from our mascots; Darren the Heron, Ricky the Racoon and Sally the Skunk.</p><p>We host a variety of family events throughout the season from pig roasts to Thanksgiving potlucks, surrounded by the fall splendour of Mississippi Lake. We shake up the holidays with Christmas in July and Halloween on Labour Day Weekend. There is no doubt we make family memories that last a lifetime.</p><br /><p>Mississippi Lake is known for its fishing, swimming and boating. There are a few islands where our families like to drop anchor and picnic. Our cottagers have free use of kayaks, canoes, paddleboards and a paddleboat. We also have a pontoon boat and a Skipper who is happy to offer pontoon excursions or tubing adventures.</p><br /><p>McCreary's Beach Resort is nestled on Mississippi Lake; minutes from the historic Town of Perth and only 45 minutes from downtown Ottawa. McCreary's Beach Resort is open from May 1st to October 31st.</p><br /><p><strong>Enjoy a stress-free cottage getaway along with all-inclusive amenities including:</strong></p><ul><li><p>Pontoon Boat Tours</p></li><li><p>Motor Boat Rentals</p></li><li><p>Boat Launch</p></li><li><p>Fishing</p></li><li><p>Indoor Pool</p></li><li><p>Multi-Sports Court</p></li><li><p>Playground</p></li><li><p>Kidz Klub</p></li><li><p>Gym</p></li><li><p>Cafe</p></li><li><p>Family Entertainment</p></li></ul><br /><p><strong>Price:</strong></p><p>Stay Mid-Week from only $199/Night*<br />Best of all, kids stay free!<br /><br /></p><p><strong>Address:</strong></p><p>155 McCreary's Beach, Perth, K7H 3C8<br /><br /></p><p>So what are you waiting for? Pack up Fido, the kids and your groceries and well take care of the rest! Book your 2020 Resort Cottage Vacation today!</p><p></p><p>*Based on a mid-week stay. Availability varies from resort to resort. Limited availability and subject to change. Price subject to HST.**Guarantee provided if stay is interrupted due to the coronavirus only. Guest can move holiday to a future date free of charge or receive a full refund of booking.</p><p><b><b><b><b><b><b><b><b><b><b><b><b><b></b></b></b></b></b></b></b></b></b></b></b></b></b></p>",Yes,2.0,3,Professional,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1514554024.0,https://www.kijiji.ca/v-short-term-rental/ottawa/need-somewhere-to-stay-near-carleton-university/1514554024,"K1S4G7, Canada",ontario,45.3978201,-75.6981172,800.0,,"Live right by all your favourite shops and restaurents. 1 room sublet available for the month of August 2020 at this high-end, modern, fully renovated 6 bedroom 2 bathroom home. This fully furnished unit has natural sunlight pouring in all day long through the large windows. Looking for a mature, responsible and clean individual to rent this gem to.

Lease: 1 month term option
Availability :1 room

Location: Located on Bronson Ave 10 minute walk to Carleton University and you're in class. Close proximity to Lansdowne park and all amenities of Bank Street/ Glebe.

Property: - Brand new modern, fully renovated this fall- Furnished common areas (Family room, Flat screen with TV, new sofas, kitchen stools, bedrooms with beds, desks and chairs) - All new appliances (dishwasher included) - New washer and dryer - Includes all Utilities (Hydro, Enbridge, water/ sewer and Internet all included in cost of rent). Also includes backyard 3 seasons vestibule.
Rooms size averages 10’x11’ plus closet.",Yes,2.0,6+,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1514549938.0,https://www.kijiji.ca/v-short-term-rental/ottawa/prestigious-end-unit-townhome-backing-onto-kanata-golf-course/1514549938,"49 Windeyer Crescent, Kanata, ON K2K 2P7, Canada",ontario,45.31743170000001,-75.9138816,2675.0,,"This prestigious end unit townhome in Kanata Lakes with the BEST views in the area is situated on a quiet crescent with mature trees on a pie-shaped lot! This lovely home features 3 spacious bedrooms, 2.5 bathrooms, grand foyer, open concept living/dining, hardwood floors, windows and window coverings galore - including bay solarium area in living room, and MUCH MORE! Kitchen boasts granite countertops, ceramic backsplash, all appliances, built-in wine storage & work space, as well as a separate eating area. Patio doors off kitchen lead to huge 2-tiered deck in backyard with beautiful views of the 9th hole and lake at the Kanata G&C Club! Large upper level family room, oversized master bedroom with walk-in closet & luxurious 4pc. ensuite bathroom complete with soaker tub and standing glass shower; large unfinished lower level with laundry & ample storage! Close to highway access and all amenities! Enjoy shopping, restaurants, etc. close by in Kanata Centrum! Available Sept 1.",No,2.5,3,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1514541282.0,https://www.kijiji.ca/v-short-term-rental/ottawa/looking-for-a-female-roommate-5-min-walking-to-uottawa/1514541282,"K1N7S3 , Canada",ontario,45.42624,-75.68196,480.0,,"This is a one bedroom apartment to share with a female a very clean and quiet roommate.
Available from Aug 1 for three months and it is possible to be extended
Very close to uottawa only 5 min walking
Very close to loblaws,meteo,...
The apartment is located on 6th floor on nelson street
Water included and hydro is about 30$ per month",Yes,1.0,,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1503265931.0,https://www.kijiji.ca/v-short-term-rental/ottawa/bright-modern-new-apartment-ottawa/1503265931,"91 Sweetland Ave, Ottawa, ON K1N 7T8, Canada",ontario,45.42397039999999,-75.6777333,775.0,,"Hi! I'm subletting my room available September 2020 until the end of May 2021, or if necessary on a month to month basis. It is a 3 bedroom, 1 bathroom apartment located in Ottawa. It's a 4 minute walk to campus (The University of Ottawa), the OTrain Station, and ~10 minute walk to the Byward Market/Parliament. Rent is $775/ month (this includes hydro, utilities, AC, heating & unlimited internet). The apartment and room are fully furnished (bed frame + mattress, bedside table, desk, mini-fridge, dresser, couch in the common area and a kitchen table with 3 chairs). There is also coin laundry in the basement.",Yes,1.0,3,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1514521929.0,https://www.kijiji.ca/v-short-term-rental/ottawa/rooms-4-rent-cls-to-baseline-cordova-algonquin-college-cu/1514521929,"84 Lotta Ave, Nepean, ON K2G 2B7, Canada",ontario,45.354395399999994,-75.74584589999998,800.0,,"***Rooms 4 rent cls to Baseline/Cordova & Algonquin College/CU

**Rooms available from Aug 01 ($810) and Sep 01 ($850) monthly.

Beautiful fully furnished bedrooms in a detached house for rent.

This house has 4 bedrooms on the 2nd level for rent.

The master bedroom has ensuite with 4 pieces full bathroom.

The other 3 BR can share a full bathroom.

Large living room, family room and kitchen on the main level.

Five min walk to Algonquin College.

Three min to bus #88 at Baseline & Cordova.

Convenient location, easy to go to down town, OU, Carleton U.

Smoke free and pet free home.

Rent range from $800-$940 per person per room depends on the room. 	

Including all utilities and high-speed internet.

Parking spot is available on the driveway with additional fees if required.

Flexible team.

Looking for quiet, reliable and responsible tenants.

If you are interested, please send me a message with a bit of information about yourself.

Post code: K2G 2B7",Yes,2.5,4,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1514518262.0,https://www.kijiji.ca/v-short-term-rental/ottawa/short-term-room-rentals-close-to-airport-at-60-day/1514518262,"1409 Mory St, Gloucester, ON K1T 1C8, Canada",ontario,45.34260150000001,-75.63721149999998,60.0,,"Please text first --> Tel: 613-400-7702


Short term rooms rentals 60$ a night in the south of Ottawa near the MacDonald Cartier international airport.


Very spacious and beautiful room , with allot of closet space. Very Beautiful backyard porch with sitting area


FREE Parking

FREE High-speed Wi-Fi

FREE Daily maid service by request

FREE Fax/photocopying max 10 pages by request

FREE Shared local Telephone line

FREE Coffee in the morning

32"" LCD TV with Satellite services has 300 plus channels in room

Non-smoking rooms (Designated smoking area in this huge backyard area)

Central Heating / Air conditioning

minutes away from shopping centers, pharmacies, restaurants and many other businesses and amenities like gym and community centers.


Bus stop is 15 seconds away to downtown Express 40 (20 min to downtown) and regular bus 293


You can play tennis very close, and the area is popular for golfing. Rideau Canal is 4.3 miles from the residence, while Peace Tower is 5.6 miles away. The nearest airport is Ottawa Macdonald-Cartier International Airport, 1.9 miles from the property or 3 Minutes to Ottawa Airport


10 Minutes to Downtown Ottawa

Just 15 minutes away from the main centre of the beautiful city of Ottawa with many locations to visit.

4 Minutes to Casino and Race Track , 24 hours fun and entertainment only minutes away.

Tennis court (within 3 km)

Golf course (within 3 km)


Please text first --> Tel: 613-400-7702",Yes,1.0,1,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1514508218.0,https://www.kijiji.ca/v-short-term-rental/ottawa/cottage-for-rent-in-otter-lake/1514508218,", Lombardy k0g 1l0 ON, Canada",ontario,44.824693700000005,-76.089865,950.0,,"We have a cozy two bedroom cottage to rent from Sunday evenings to Friday afternoons. It is located on Otter Lake just 15 minutes outside the towns of Smith Falls and Perth. We supply a canoe, paddle board and paddle boat for the week. And you can bring your motorised boat (the boat launch is just a few minutes away). We have a nice 50 feet deck which makes it a nice place to enjoy the beautiful sunset. The property has a fire pit with seating and propane BBQ for your enjoyment. The living and kitchen area are open concept. The kitchen area has a microwave, fridge, coffee machine, and stove/oven, with nice size dining table with seating for six. The living area as a gas fireplace and AC. Both bedrooms have bunk beds (single and double) which allow 6 to sleep comfortably and the living room couch is a pull out bed. This lake house is the perfect place for your next family vacation. $950 and WIFI is incuded Only August 23 and 30 available!",Yes,1.0,2,Owner,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1514476406.0,https://www.kijiji.ca/v-short-term-rental/ottawa/gorgeous-1-bedroom-with-ensuite-in-downtown-condo/1514476406,", Ottawa k1n0a7 ON, Canada",ontario,45.4273488,-75.68626479999999,1175.0,,"I have a large bedroom available in this 2 bedroom, 2 bathroom flat in downtown Ottawa between Sandy Hill and Byward Market. Partly furnished (nothing in the bedroom). Condo comes with a pool, sauna, gym and underground parking (parking is extra as I don't drive). The building is:


10 minute walk to Rideau Station

10 minute walk to the uOttawa campus

10 minute walk to the canal

15 minute walk to Strathcona park


Available from September 1st for $1175 pcm. I've already been here a year so my landlord is willing to start us on a month to month contract.",Yes,1.0,1,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1514467230.0,https://www.kijiji.ca/v-short-term-rental/ottawa/furnished-bachelor-ottawa-east-available-now/1514467230,"K1K1H3, Canada",ontario,45.431144399999994,-75.6443462,1200.0,,"Furnished bachelor with a kitchenette close to St. Laurent mall. Minutes to downtown by bus. Close to shopping and bus routes. Includes all utilities, cable, and internet. No smoking and no pets. Short term only. No laundry on site. Parking is extra. For more information, please call (613) 740 9918.",Yes,1.0,Bachelor/Studio,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1488270221.0,https://www.kijiji.ca/v-short-term-rental/ottawa/waterfront-cottage-for-rent-on-beautiful-mississippi-lake/1488270221,"131 Rathwell Shore Rd, Carleton Place, ON K7C 4L4, Canada",ontario,45.106243299999996,-76.1795703,740.0,,"NO Vacancies. Cancellations will be listed below. You won’t be able to say enough about the beauty and the location of this pet friendly waterfront cottage on Mississippi Lake, less than ten minutes from downtown Carleton Place, and a 35 minute drive from downtown Ottawa.

This simple compact cottage comes equipped with all your requirements for a real country retreat away from the city, but closes enough to commute. The cottage is clean and functional, not fancy and is the lowest price you will find on the lake.

The eat-in kitchen is equipped with fridge, stove, microwave, toaster, dishes, cutlery and pots and pans. Bring your own drinking water.

Bathroom has a bath with shower, toilet and small sink. Sleeps 4 in the 3 bedrooms, and more on the double pull-out and sofa in the living room (maximum occupancy is 6)

Living room comes with sofa, occasional chair, desk and airtight stove, HDTV, Blu-ray, stereo and great lake view.

The deck is feet away from Mississippi Lake. It has a screened Gazebo, BBQ, picnic table and chairs and a stunning view.

There is a dock and a fire bowl. You can swim; launch your kayaks, canoes and small motor boats at the cottage. For bigger boats you can use the public boat launch in Carleton Place. There is a canoe and paddle boat for use by visitors (with paddles and pfd’s). The cottage is pet friendly.

Parking for two vehicles is available beside the cottage.

Cell phones from all major providers work fine and are your source of internet.


Mississippi Lake is a well-looked after lake with great fishing and boating, many varieties of birds and other wildlife, and this location is very close (within a couple of kilometres) to a quiet, little known but very good golf course (Scottish Glen). Carleton Place is a lovely country location which has a variety of shops, a Saturday Farmers market and many other amenities, events and locations of interest. You are between 20 to 30 minute drive from nearby Almonte, Perth and Smith falls.

Booking week long stays at the moment (Sunday to Sunday) – will open to weekend only stays in Mid-June. Bookings on a ‘first come, first served’ basis. Book early to avoid disappointment.

Current Availability: None


The cottage will be professionally cleaned and sanitized after each visit this summer.",Yes,1.0,3,Owner,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1514441482.0,https://www.kijiji.ca/v-short-term-rental/ottawa/fully-furnished-modern-luxury-condo-all-utilities-included/1514441482,"179 George St, Ottawa, ON K1N 1J8, Canada",ontario,45.429008700000004,-75.6878022,1995.0,,"Located right in Downtown Ottawa beside the Rideau Centre and minutes from Parliament Hill.


The unit comes entirely furnished with a Queen sized bed, a couch, mounted Smart TV and a fully stocked kitchen. There is also an outdoor balcony with patio furniture, and all monthly utilities (water, hydro, internet) are included in the cost!


The building's amenities include a gym, party room with a pool table and foosball as well as an outdoor patio with barbeques.


There is a grocery store in the mall right across the street, and an LCBO in front of the building for maximum convenience. There are several amazing restaurants and coffee shops in the neighbourhood as well. You are located right in the Byward Market! One of Ottawa's most popular neighbourhoods.


This unit is perfect for young professionals, students, or anyone looking to enjoy an extended stay in Ottawa's capital.


Only looking for short term rentals with a minimum of a 4-month rental available immediately. Please contact me with any further questions.",Yes,1.0,1,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1514411590.0,https://www.kijiji.ca/v-short-term-rental/ottawa/private-1bdr-semi-based-apart-separate-entrance-all-inclusive/1514411590,", k1v6p7, Ottawa, ON",ontario,45.3716395,-75.6597311,1299.0,,"Perfect location and EASY ACCESS TO EVERYTHING. Private 1 bedroom semi-basement apartment with lots of natural light. Price for two people is $1349 all inclusive except for parking. The unit has separate/private entrance. It is near all amenities. One driveway private parking spot: $30. LOTS OF STORAGE AREA. Perfect for mature and quiet students; or professionals. It includes high speed internet, Regor's cable and all utilities. The recent upgrades are: laminate flooring, new drop ceiling, new lighting, new off-white paint, new closet doors in the living room and bedroom. Kitchen comes with all appliances including microwave. Central AC, Central heating system and central vacuum. Shared coined laundry with new high efficiency washing/drying machines

Close to Ottawa U, Carleton U, Airport, Bus transit Station (meters away); South keys mall and O train (5 min by bus); Mooney's Bay. Bus stop at the doorstep to downtown. First and Last required. Call to book viewing: 613 413 5725",No,1.0,1,Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1514388449.0,https://www.kijiji.ca/v-short-term-rental/ottawa/short-term-rental/1514388449,", Ottawa K1R 5P1 ON, Canada",ontario,45.409874200000004,-75.69859170000001,39.0,,"Excellent, Convenient and Affordable Downtown Location.

Lowest Price Down Town. Shared or Private Single Rooms Available Immediately. Single, Double or Multiple Occupancy.

Shared Dorm Room -- $39.00 per night.

Private single room -- $69.00 per night per person ($25.00 additional person)

Private Studio with Trundle bed, ensuite washroom, kitchenette with microwave and fridge -- $79.00 per night ($25.00 additional person)

Private Studio with Queen bed, ensuite washroom, kitchenette with microwave and fridge.-- $ 89.00 per night ($25.00 additional person)

Taxes to be added to the above rates.

Free tea and coffee. Breakfast at additional charge.

Free unlimited WiFi, Clean Linens and All Utilities and Parking.

We offer Clean, Safe, Comfortable Rooms at an Affordable Price.

Walking distance to Downtown Government Offices, Embassies, University of Ottawa, Parliament Hill, Greyhound Bus Station, Restaurants, Shopping and other Major Attractions. Local Bus Routes at your Door Step.",Yes,5.0,,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
